"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.240083341E-3,-1.287601179E0,-1.725700450E-1,-1.122185934E0
1.621908334E-2,-1.248454217E0,-1.144345711E0,2.067025816E-1
2.619908334E-2,-9.982166295E-1,-2.097659379E0,1.027853388E0
3.617808333E-2,-6.657530107E-1,-2.694329730E0,1.247480655E0
4.615808334E-2,-7.407438438E-1,-2.617904867E0,1.174813798E0
5.613808334E-2,-2.346908641E-1,-2.850876650E0,5.820254141E-1
6.611708333E-2,-1.972192749E-1,-2.427632377E0,-1.360951138E-1
7.609708334E-2,2.761025995E-2,-2.001714172E0,-6.604371607E-1
8.607608333E-2,3.111021321E-1,-1.650615184E0,-1.223483682E0
9.605608333E-2,2.859807394E-1,-1.618795221E0,-1.249321944E0
1.060350833E-1,5.824031442E-1,-1.027067522E0,-2.538011436E0
1.160150833E-1,4.135858423E-1,-7.717775023E-1,-2.885897963E0
1.259940834E-1,3.369776693E-1,-7.831936061E-1,-3.172200446E0
1.359740833E-1,2.976406722E-1,-1.022593233E0,-3.334623817E0
1.459530834E-1,2.581694815E-1,-1.026008007E0,-3.340363444E0
1.559330834E-1,-1.966042940E-1,-1.261145014E0,-3.374460897E0
1.659120834E-1,-3.309506518E-1,-1.170142457E0,-3.101745590E0
1.758920834E-1,-3.544184518E-1,-1.088617653E0,-2.407715591E0
1.858720834E-1,-3.691639602E-1,-8.494489914E-1,-1.966152576E0
1.958510834E-1,-4.186657570E-1,-8.450840449E-1,-1.977148265E0
2.058310834E-1,-5.135735223E-1,-6.904228520E-1,-1.544131540E0
2.158100833E-1,-5.495587492E-1,-6.827653384E-1,-1.554519119E0
2.257900834E-1,-6.059193300E-1,-2.309322739E-1,-1.598536958E0
2.357690833E-1,-7.603467073E-1,1.335504055E-1,-1.647626088E0
2.457490833E-1,-7.948826288E-1,1.397671652E-1,-1.656435503E0
2.557280833E-1,-9.798533756E-1,7.032709390E-1,-1.288559684E0
2.657080833E-1,-9.447204535E-1,7.773715335E-1,-9.165452063E-1
2.756870833E-1,-8.142599360E-1,6.602494651E-1,-4.197534853E-1
2.856670833E-1,-5.941556092E-1,2.867176348E-1,1.919371927E-1
2.956460833E-1,-6.454722355E-1,2.888401741E-1,1.847211438E-1
3.056260833E-1,-1.132827135E-1,-9.133175433E-2,9.541135669E-1
3.156050833E-1,-1.187986113E-2,-1.889995515E-2,1.066594115E0
3.255850833E-1,-9.018876985E-2,1.809625536E-1,1.115532972E0
3.355650833E-1,-2.803190998E-1,5.028956294E-1,1.227339921E0
3.455440833E-1,-3.074346853E-1,5.348699588E-1,1.205623362E0
3.555240833E-1,-4.776029134E-1,6.894826198E-1,1.809494559E0
3.655030833E-1,-5.236316834E-1,5.764419079E-1,2.163223039E0
3.754830833E-1,-5.399444649E-1,5.346787548E-1,2.594168095E0
3.854620833E-1,-5.302728047E-1,5.211535603E-1,3.016328879E0
3.954420833E-1,-5.523077445E-1,5.449929509E-1,3.001048350E0
4.054210834E-1,-3.274122823E-2,4.296957985E-1,2.920790638E0
4.154010833E-1,1.722374481E-1,4.510811126E-1,2.259487504E0
4.253800834E-1,1.696601050E-1,5.978108498E-1,1.559120877E0
4.353600834E-1,-7.066886365E-2,1.066909573E0,1.107495974E0
4.453390834E-1,-7.762829281E-2,1.086193398E0,1.096120800E0
4.553192917E-1,-2.158502947E-1,1.328291515E0,1.279333363E0
4.652982917E-1,-2.433610058E-1,1.362361778E0,1.258555866E0
4.752782917E-1,3.189831555E-2,2.289214164E-1,2.706111869E0
4.852582917E-1,1.656830848E-1,-5.291958207E-1,3.098483428E0
4.952372917E-1,1.466352316E-1,-5.133527899E-1,3.088796931E0
5.052172917E-1,4.187160796E-1,-1.894099968E0,2.743286127E0
5.151962917E-1,5.434790336E-1,-2.103680550E0,2.187051612E0
5.251762917E-1,6.208078028E-1,-1.821654721E0,1.559553571E0
5.351552917E-1,7.911998331E-1,-1.199222123E0,1.024758457E0
5.451352917E-1,7.764384641E-1,-1.197956493E0,1.023294314E0
5.551142917E-1,1.515728544E0,1.011644322E-1,7.462392032E-1
5.650942917E-1,1.497433776E0,1.147758731E-1,7.380110013E-1
5.750732917E-1,2.092084205E0,5.280637997E-1,7.412328172E-1
5.850532917E-1,2.277915882E0,4.633778071E-1,7.633586812E-1
5.950322917E-1,2.279637302E0,4.787480906E-1,7.552614570E-1
6.050122917E-1,2.401998329E0,7.994664073E-2,7.984139085E-2
6.149912917E-1,2.423711965E0,8.648616672E-2,7.741421163E-2
6.249712917E-1,1.950958586E0,-3.654521477E-1,-1.031218461E0
6.349512917E-1,1.736094607E0,-5.183995217E-1,-1.730025051E0
6.449302917E-1,1.775914438E0,-5.327766556E-1,-1.720049701E0
6.549102917E-1,1.630029769E0,-6.319588816E-1,-2.416741937E0
6.648892917E-1,1.451556668E0,-7.476355183E-1,-3.066827772E0
6.748692917E-1,8.430340842E-1,-6.503384346E-1,-3.671205922E0
6.848482917E-1,6.850953077E-1,-5.298740977E-1,-3.573348091E0
6.948282917E-1,6.904332308E-1,-5.457279459E-1,-3.564313558E0
7.048072917E-1,5.880609832E-1,-4.976758200E-1,-2.918924791E0
7.147872917E-1,5.930010033E-1,-5.049728528E-1,-2.914552828E0
7.247662917E-1,4.698034586E-1,-4.188916057E-1,-2.362410194E0
7.347462917E-1,4.022692873E-1,-3.138469613E-1,-2.109637401E0
7.447252917E-1,4.181951293E-1,-3.111054942E-1,-2.109896432E0
7.547052917E-1,4.130690215E-1,-1.440566826E-1,-1.622330448E0
7.646842917E-1,4.381564271E-1,-1.397820756E-1,-1.622591819E0
7.746642917E-1,4.923339500E-1,-1.752188337E-1,-1.084723992E0
7.846432917E-1,4.063044508E-1,-1.497623956E-1,-1.039131498E0
7.946232917E-1,4.466900729E-1,-1.579628232E-1,-1.030786352E0
8.046022917E-1,1.309823084E-1,9.097682834E-3,-6.183915871E-1
8.145822917E-1,1.802213459E-1,-6.815806925E-3,-6.043687946E-1
8.245622917E-1,-2.152285530E-1,1.579780260E-1,-5.247536910E-1
8.345412917E-1,-3.610303371E-1,4.135659617E-1,-6.252603114E-1
8.445212917E-1,-3.152740473E-1,3.803242484E-1,-6.007680792E-1
8.545002917E-1,-1.570517539E-1,1.364571149E0,-1.049410318E0
8.644802917E-1,-1.207781862E-1,1.329476745E0,-1.024246241E0
8.744592917E-1,1.670275424E-1,2.015803623E0,-1.425107957E0
8.844392917E-1,3.573332888E-1,2.258998092E0,-1.354446110E0
8.944182917E-1,3.688841709E-1,2.245995639E0,-1.345097582E0
9.043982917E-1,4.507713564E-1,2.458315056E0,-9.046794516E-1
9.143772917E-1,4.408092358E-1,2.464662793E0,-9.098770416E-1
9.243572917E-1,1.162448399E-1,2.386528205E0,6.395906675E-1
9.343362917E-1,4.958555818E-2,2.129402159E0,1.605415038E0
9.443162917E-1,3.375327162E-2,2.164121171E0,1.583019617E0
9.542952917E-1,1.118595743E-1,1.037066554E0,3.674356987E0
9.642752917E-1,1.263763104E-1,1.074832842E0,3.654807991E0
9.742542917E-1,6.551561017E-1,1.924073088E-1,4.139521118E0
9.842342917E-1,7.667237538E-1,6.663954735E-2,3.696556526E0
9.942142917E-1,8.463508442E-1,7.503965735E-2,3.704053241E0
1.004193292E0,1.246850033E-1,4.284202284E-1,1.424378809E0
1.014173292E0,2.067385420E-1,4.276144820E-1,1.439090404E0
1.024152292E0,-8.229809850E-1,1.107307693E0,-7.374315423E-1
1.034132292E0,-1.119784190E0,1.145155551E0,-9.308387250E-1
1.044111292E0,-1.126874523E0,1.154656692E0,-9.375144911E-1
1.054091292E0,-1.526853164E0,8.441025898E-1,9.826912487E-1
1.064070292E0,-1.578576757E0,8.598634672E-1,9.645549399E-1
1.074050292E0,-1.480691589E0,1.764347622E-1,2.995998110E0
1.084029292E0,-1.315396650E0,-2.640877408E-1,3.451107954E0
1.094009292E0,-1.339964457E0,-2.429278368E-1,3.435502321E0
1.103988292E0,-1.245781016E0,-6.040074366E-1,3.058985487E0
1.113968292E0,-1.243736683E0,-5.810474673E-1,3.046925604E0
1.123947292E0,-1.617369816E0,3.062917739E-2,1.598826980E0
1.133927292E0,-1.760691796E0,2.252788934E-1,1.054165274E0
1.143906292E0,-1.772884557E0,2.441124827E-1,1.042228768E0
1.153886292E0,-1.511053403E0,-1.827342600E-1,5.764728981E-1
1.163865292E0,-1.539673184E0,-1.712155375E-1,5.659870863E-1
1.173845292E0,-9.703330122E-1,-7.381908032E-1,4.395352006E-2
1.183824292E0,-6.751275592E-1,-9.153029653E-1,-2.628896463E-1
1.193804292E0,-7.024306941E-1,-9.203157833E-1,-2.641976684E-1
1.203783292E0,-5.227125742E-2,-1.309723389E0,-1.227145209E0
1.213763292E0,-6.120331787E-2,-1.322712394E0,-1.221571643E0
1.223743292E0,3.488574573E-1,-1.465304933E0,-2.482434236E0
1.233722292E0,3.842753582E-1,-1.471168814E0,-2.870315718E0
1.243702292E0,3.803672254E-1,-1.478740958E0,-2.866845396E0
1.253681292E0,2.731050244E-1,-1.366498099E0,-3.546236306E0
1.263661292E0,2.629941653E-1,-1.371555355E0,-3.544932377E0
1.273640292E0,2.621411296E-1,-1.191535958E0,-3.666756191E0
1.283620292E0,2.746824570E-1,-1.148499866E0,-3.590564048E0
1.293599292E0,2.553814559E-1,-1.144093404E0,-3.595442964E0
1.303579292E0,1.480590286E-1,-1.275614826E0,-3.240158540E0
1.313558292E0,1.224423768E-1,-1.264081778E0,-3.249484849E0
1.323538292E0,7.716110028E-2,-1.498407775E0,-3.034158209E0
1.333517292E0,-2.230866261E-2,-1.603594215E0,-2.396128748E0
1.343497292E0,-5.400846519E-2,-1.595546400E0,-2.403988575E0
1.353476292E0,-1.513347119E-1,-1.087148248E0,-1.747933318E0
1.363456292E0,-1.753047147E-1,-1.088410077E0,-1.749877517E0
1.373435292E0,-5.161344565E-1,-6.242002112E-1,-1.585809909E0
1.383415292E0,-6.610423476E-1,-4.439463401E-1,-1.341041368E0
1.393394292E0,-6.795481273E-1,-4.515284246E-1,-1.338943972E0
