"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.196022034E-3,6.046393977E1,2.693213850E1,9.063896174E0,NaN,NaN,1.814981545E1,3.000000000E1
3.932404518E-2,6.046393972E1,2.693213833E1,9.063896174E0,NaN,NaN,1.814861175E1,3.000004408E1
5.238480568E-1,6.046393974E1,2.693213878E1,9.063896174E0,NaN,NaN,1.835531956E1,3.003800644E1
5.246460438E-1,6.046393974E1,2.693213878E1,9.063896174E0,NaN,NaN,1.835531956E1,3.003800644E1
1.184749961E0,6.046388828E1,2.693202383E1,9.695617676E0,1.840000033E0,1.617187500E2,1.119631702E1,1.200000000E1
1.663097978E0,6.046387594E1,2.693203175E1,1.001032257E1,1.840000033E0,1.617187500E2,1.122016700E1,1.200000000E1
2.666571975E0,6.046381517E1,2.693214067E1,9.979095459E0,1.840000033E0,1.385156250E2,8.977064089E0,2.400000000E1
3.668995023E0,6.046380393E1,2.693216080E1,1.005855802E1,1.190000057E0,1.385156250E2,9.375898150E0,2.400141047E1
4.665097117E0,6.046379611E1,2.693217512E1,9.044574065E0,1.899999976E-1,1.385156250E2,1.027098673E1,3.000051903E1
5.668798089E0,6.046326132E1,2.693309312E1,1.271007614E2,4.900000095E-1,1.385156250E2,2.639652853E1,4.800000000E1
6.500096917E0,6.046383083E1,2.693208503E1,1.400035667E1,7.699999809E-1,1.483593750E2,6.063306512E0,1.200000000E1
7.502275229E0,6.046381629E1,2.693211126E1,1.441992569E1,7.300000191E-1,1.515234375E2,4.586579246E0,8.000000000E0
8.504853368E0,6.046380053E1,2.693213264E1,1.267543221E1,7.699999809E-1,1.501171875E2,3.752741372E0,6.000000000E0
9.507388949E0,6.046378712E1,2.693215024E1,1.123867607E1,1.090000033E0,1.473046875E2,3.641696325E0,6.000000000E0
1.050973916E1,6.046377656E1,2.693216658E1,7.755165100E0,9.300000072E-1,1.427343750E2,3.744145409E0,6.000000000E0
1.151195407E1,6.046376641E1,2.693218444E1,5.586290359E0,1.070000052E0,1.360546875E2,3.535533906E0,6.000000000E0
1.251403356E1,6.046375568E1,2.693220355E1,4.020627975E0,1.070000052E0,1.350000000E2,3.535533906E0,4.000000000E0
1.351592863E1,6.046374889E1,2.693221730E1,4.020635768E0,1.070000052E0,1.350000120E2,4.748651530E0,5.372485918E0
1.451771104E1,6.046373830E1,2.693223573E1,3.294265909E0,1.070000052E0,1.371093865E2,4.748651530E0,5.372485918E0
1.551939857E1,6.046372695E1,2.693225432E1,2.707485386E0,1.200000048E0,1.395703248E2,4.748651530E0,5.372485918E0
1.652093458E1,6.046371551E1,2.693227464E1,2.115638921E0,1.200000048E0,1.388672000E2,4.748651530E0,4.029364438E0
1.752238357E1,6.046370530E1,2.693229340E1,2.141954605E0,1.179999948E0,1.374609501E2,4.748651530E0,4.029364438E0
1.852373171E1,6.046369469E1,2.693231024E1,1.299678985E0,1.179999948E0,1.395703246E2,4.748651530E0,4.029364438E0
1.952497923E1,6.046368307E1,2.693232957E1,7.311479710E-1,1.289999962E0,1.406250129E2,4.748651530E0,4.029364438E0
2.052615142E1,6.046367272E1,2.693234694E1,4.732839735E-1,1.289999962E0,1.413281377E2,4.748651530E0,5.372485918E0
2.152721763E1,6.046366395E1,2.693236458E1,-9.390620235E-2,1.269999981E0,1.388672007E2,4.748651530E0,5.372485918E0
2.252821648E1,6.046365533E1,2.693238109E1,-5.500791539E-1,1.230000019E0,1.392187627E2,4.748651530E0,5.372485918E0
2.352914500E1,6.046364588E1,2.693239728E1,-8.300378723E-1,1.250000000E0,1.413281374E2,4.748651530E0,5.372485918E0
2.453002453E1,6.046363656E1,2.693241456E1,-1.024425300E0,1.299999952E0,1.420312626E2,4.748651530E0,4.029364438E0
2.553084767E1,6.046362781E1,2.693243392E1,-1.143373282E0,1.299999952E0,1.409765754E2,4.748651530E0,4.029364438E0
2.653161824E1,6.046361836E1,2.693245492E1,-1.135246052E0,1.379999995E0,1.413281386E2,4.748651530E0,4.029364438E0
2.753233850E1,6.046360984E1,2.693247723E1,-1.393291244E0,1.399999976E0,1.409765764E2,4.748651530E0,4.029364438E0
2.853302014E1,6.046359899E1,2.693250276E1,-1.651881893E0,1.610000014E0,1.420312657E2,4.748651530E0,4.029364438E0
2.953365409E1,6.046358948E1,2.693252072E1,-1.619584800E0,1.440000057E0,1.434375136E2,4.748651530E0,4.029364438E0
3.053425503E1,6.046357688E1,2.693252972E1,-1.379955057E0,1.440000057E0,1.532812602E2,4.748651530E0,4.029364438E0
3.153480935E1,6.046356424E1,2.693252559E1,-1.094001564E0,1.299999952E0,1.712109406E2,4.748651530E0,4.029364438E0
